#=====================================================================================================================#
#                                               TRAFFIC LIGHT CONTROLLER                                              #
#=====================================================================================================================#

#----> All signals are Red <----#

| CLK =0 | RST =1 |  NS1 =10000 | NS2 =10000 | EW1 =10000 | EW2 =10000 | NS1_P =10 | NS2_P =10 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =10 | EW3_P =10 | EW4_P =10

#----> All signals are Red <----#

| CLK =1 | RST =1 |  NS1 =10000 | NS2 =10000 | EW1 =10000 | EW2 =10000 | NS1_P =10 | NS2_P =10 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =10 | EW3_P =10 | EW4_P =10
| CLK =0 | RST =0 |  NS1 =10000 | NS2 =10000 | EW1 =10000 | EW2 =10000 | NS1_P =10 | NS2_P =10 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =10 | EW3_P =10 | EW4_P =10

#----> SOUTH TO NORTH <-----#

| CLK =1 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10
| CLK =0 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10

#----> SOUTH TO NORTH <-----#

| CLK =1 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10
| CLK =0 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10

#----> SOUTH TO NORTH <-----#

| CLK =1 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10
| CLK =0 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10

#----> SOUTH TO NORTH <-----#

| CLK =1 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10
| CLK =0 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10

#----> SOUTH TO NORTH <-----#

| CLK =1 | RST =0 |  NS1 =00111 | NS2 =10000 | EW1 =10000 | EW2 =10010 | NS1_P =10 | NS2_P =01 | NS3_P =10 | NS4_P =10 | EW1_P =10 | EW2_P =01 | EW3_P =10 | EW4_P =10
